isbn,book_title,author,genre,publisher,price,rating,copies_sold
643129946-9,Executive Target,Elisa Orrum,Thriller,Photobug,8.17,0.2,452433
544076791-6,Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,Antoinette Crosby,Mystery,Wikivu,43.18,2.2,19221503
880126465-8,Facing the Giants,Johan Heddy,Historical,Zoomcast,41.2,0.8,16150498
467085435-6,We Live Again,Andres Giorgielli,Science Fiction,Leexo,12.65,3.7,1700155
247240609-6,Little Voice,Scot Chape,Mystery,Devpoint,0.99,4.3,12967146
394054382-9,Underworld: Evolution,Lane Bundock,Thriller,Oyoyo,29.81,3.1,7205826
173238474-6,Farmer & Chase,Colas Lunny,Science Fiction,Livefish,14.3,3.5,4252528
881729169-2,Gulliver's Travels,Oralla Christer,Fantasy,Skyndu,41.66,3,9283007
164934047-8,"Overcoat, The (Il cappotto)",Marley Bigby,Mystery,Avaveo,44.11,4.2,18605560
058912398-X,Hum Dil De Chuke Sanam,Pammy Curlis,Thriller,Fadeo,40.69,3.6,10583388
190994158-1,"Paris, France",Adlai Pinner,Historical,Brainverse,22.21,3.7,9809383
376876268-8,The Anderssons in Greece: All Inclusive,Sarina Christer,Nonfiction,Vinder,34.74,1.9,19166142
087467291-0,"Month by the Lake, A",Taryn Hellwig,Science Fiction,Meevee,41.53,3.7,8177900
539545927-8,Graduation Day,Ruy Ciccerale,Romance,Tambee,35.52,0.4,2407916
217503762-2,Soapdish,Chev Chowne,Historical,Brainbox,31.37,0.7,14052361
632106139-5,Bad News Bears,Belinda Aspling,Fantasy,Riffwire,44.16,2,6294108
680070533-0,"Little Princess, The",Rick Ollerhad,Mystery,Zoomlounge,47.08,1.6,10733732
307018588-6,"Ernest Film Festival, The",Giustino Jaslem,Fantasy,Eimbee,10.32,1.1,18404539
942140000-3,First a Girl,Tad Rodda,Fantasy,Eire,35.49,2.2,5856732
908963015-5,"Escapist, The",Joella Oganesian,Nonfiction,Jamia,16.42,1.1,16978204
483249694-8,Tipping the Velvet,Sharla Glass,Nonfiction,Kwilith,18.36,1.7,6569583
300182975-3,"Angel Levine, The",Cordy Theuff,Historical,Gabtune,33.62,3.2,4513447
725114090-X,Mondo Hollywood,Tina Shilburne,Mystery,Aivee,10.95,4.1,2184070
663430307-X,Mo' Better Blues,Mala Sparshott,Thriller,Layo,9.3,4.4,19298434
947243754-0,"Curse of the Cat People, The",Wash Roth,Science Fiction,Livetube,21.78,0.6,14779578
972991029-4,Slim Susie (Smala Sussie),Hilliary Greensitt,Thriller,Kaymbo,43.81,4.7,7944987
366810828-5,Riders of Destiny,Helena Ploughwright,Historical,Buzzbean,22.52,4.5,13202095
804200082-0,Cop Land,Murial Bengochea,Mystery,Dynabox,1.85,0.8,13779075
005403479-5,Wishmaster 3: Beyond the Gates of Hell,Pooh Akker,Thriller,Gabspot,21.28,0.5,8503953
215853125-8,"Moment to Remember, A (Nae meorisokui jiwoogae)",Lulita Giorgioni,Mystery,Buzzdog,34.57,0.8,9096096
995668730-8,Steamboat Willie,Birk Boxall,Nonfiction,Wikibox,44.36,0.4,8782678
586287357-0,Eichmann,Bee Metts,Science Fiction,Yozio,43.99,1.5,4181371
679575819-2,Run All Night,Marleen Toombes,Mystery,Agivu,48.81,1.7,3977601
683303516-4,Yes Or No,Lyndsay Southey,Historical,Quimm,40.16,4.1,16716226
084516385-X,Prison of the Dead,Fancie Beardshaw,Romance,Edgepulse,34.82,2.8,16712993
407912064-8,Confessions (Kokuhaku),Orton Bertome,Thriller,Gabcube,28.7,4.7,6280560
367930980-5,Julia,Domeniga Dael,Romance,Twitterbeat,1.91,4.4,7789104
972596939-1,"Eleventh Hour, The",Puff Demsey,Nonfiction,Camido,9.64,4.1,16090569
387051486-8,Alien Escape,Torey Oguz,Mystery,Zoombeat,7.27,2.9,17542814
599951317-0,Saludos Amigos,Cindie Flinn,Historical,Kamba,5.81,1.4,5370928
849319918-4,"Yellow Cab Man, The",Bone Bossom,Historical,Geba,14.35,0.1,16544510
910749144-1,We're Not Married!,Eveline Delahunty,Romance,Youbridge,42.39,1.3,13854207
241119665-2,"Painted Veil, The",Portia Linay,Historical,Devify,28.42,1.4,9217609
232447576-6,"Winning Team, The",Cora Absolem,Mystery,Twitterbridge,43.1,4.7,15509242
417105546-6,"Man, The",Willi Dodimead,Science Fiction,Mudo,32.4,2.2,6219604
881125707-7,Wasabi,Lillian Stones,Mystery,Skynoodle,37.7,2.8,6436944
426309094-2,Shoot to Kill,Pepi Concannon,Nonfiction,Thoughtblab,10.07,0.9,3866391
904576747-3,Off the Charts: The Song-Poem Story,Cam Osbaldeston,Science Fiction,Mymm,21.55,3.5,19406028
311405319-X,Street Scene,Benedict Oliffe,Science Fiction,Quatz,34.7,0.9,16442396
813158489-5,Timbuktu,Kerstin Lude,Mystery,Voolia,29.83,1.8,3176490
351573694-8,"Walk on the Moon, A",Kaleb Gorbell,Thriller,Youspan,40.88,2.3,6923185
790702437-4,Devour,Fabe Breitling,Romance,LiveZ,36.56,4.1,11040742
322727911-8,When Love Is Not Enough: The Lois Wilson Story,Devondra Garbert,Thriller,Vimbo,17.27,2.8,17339241
943783526-8,"Septième juré, Le",Rube Palatino,Romance,Wordpedia,24.41,2.7,9340346
724979009-9,"Wrong Box, The",Beaufort Masser,Fantasy,Katz,47.12,2.7,10364090
541291409-8,The Incident,Channa Erat,Historical,Teklist,14.14,0.9,15114654
578558197-3,Willow,Donnie Moulden,Science Fiction,Eabox,19.22,4.3,19550643
273196405-7,Ship of Fools,Gena Bernath,Historical,Meetz,13.63,3.6,12272888
445253549-6,Kumaré,Timmi Bigly,Thriller,Skiptube,30.02,1.3,15809978
895333913-8,Our Nixon,Ame Duiged,Nonfiction,Realcube,37.83,3,11763658
236809342-7,Citizen X,Manolo Hanning,Mystery,Thoughtbridge,28.03,1.6,14252320
076208632-7,"Good Son, The",Winston Lount,Fantasy,Katz,21.68,2.3,17845532
224084133-8,Gamera vs. Viras ,Romonda Hachard,Fantasy,Vidoo,38.64,1.7,16392282
207644018-6,Green Street Hooligans (a.k.a. Hooligans),Janel Vasilyonok,Romance,Brightdog,35.09,0.3,6294307
118148024-8,Castle of Blood,Daisie Boynton,Nonfiction,Kayveo,28.9,1.8,16581572
817453892-5,Gappa: The Triphibian Monsters (AKA Monster from a Prehistoric Planet) (Daikyojû Gappa),Ardith Kyles,Thriller,Trunyx,41.62,2.3,18535958
285494995-1,Clash by Night,Alessandro Hurburt,Mystery,Dazzlesphere,37.96,0.5,3853490
781403806-5,Popcorn,Marten Diben,Fantasy,Voolith,37,2.3,8033269
594412989-1,"Four Times, The (Le Quattro Volte)",Julian Allon,Historical,Yambee,30.3,1.4,14689888
604405472-1,Johnny Was,Jaquelin Serjent,Nonfiction,Flipopia,22.37,1,13304757
285934714-3,"Nazis Strike, The (Why We Fight, 2)",Heda Pye,Mystery,Shufflebeat,38.94,1.3,709285
958679710-4,"Double Hour, The (La doppia ora)",Ingra Wesker,Romance,Gevee,16.95,1.4,14178605
898587045-9,Cat and Dog,Carey Wallwork,Historical,Voomm,31.15,3.9,5758962
806373855-1,"Scarlet Letter, The",Charmion Want,Science Fiction,Jabberstorm,33.38,2.8,13327391
095370876-4,Capote,Hannis Binnie,Thriller,Flashset,11.61,0.9,502130
280518263-4,"Bourne Identity, The",Augustina Sauven,Mystery,Quinu,9.29,1.6,15014507
690225870-8,"American Werewolf in Paris, An",Kinsley Rawlins,Science Fiction,Zooveo,1.36,2,9060807
925178498-1,Jersey Girl,Bartram Aron,Romance,BlogXS,40.29,3.3,13499696
095159810-4,Critters,Kamillah McLinden,Fantasy,Mudo,4.15,0.7,15067710
127870068-4,Chilly Scenes of Winter (Head Over Heels),Shalom Lightbowne,Romance,Babbleset,1.1,0.8,7868007
473830591-3,Death Becomes Her,Gerhard Tyndall,Fantasy,Dynava,9.85,1.8,16631658
648472465-2,Saint Jack,Reagan Pocklington,Mystery,Skyndu,48.18,2.6,17966291
465883435-9,Tormented,Lee Jarrel,Historical,Trudeo,49.64,0.1,15050231
256870735-6,G. I. Blues,Maribel Pele,Mystery,Dabshots,12.32,0.7,3389046
364749802-5,Man of Her Dreams (a.k.a. The Fiancé),Casar Menichino,Historical,Trudoo,2.24,0.6,9152310
553743483-0,Fellini's Roma (Roma),Madelin Persence,Romance,Fliptune,31.56,2.4,7020079
656380357-1,Tomboy,Baily Guinane,Fantasy,Avamm,7.79,1.2,2818731
596138847-6,"Disappeared, The",Vikki Arton,Fantasy,Jayo,35.12,2.1,11124204
181982903-0,Nicht alle waren Mörder,Pall Pinn,Mystery,Wikizz,10.39,3.8,6150442
001863197-5,Shadow People,Mata Channon,Mystery,Bubblebox,32.13,4.8,4875234
704489478-X,Prizzi's Honor,Che Revan,Mystery,Tagchat,2.46,2.9,17480541
174891081-7,Mr. Wonderful,Artie Starrs,Science Fiction,Innotype,1.96,4.2,992097
037847850-8,"Man Without a Past, The (Mies vailla menneisyyttä)",Ky Fulstow,Romance,Oyoyo,3.95,0.9,3447990
865233088-3,Anatomy of a Murder,Emmi Doggrell,Fantasy,Aimbo,35.96,4.7,17030231
332026547-4,Ju-on: White Ghost,Giuditta Attenborrow,Thriller,Meevee,48.02,1.6,218854
226281023-0,Zigeunerweisen (Tsigoineruwaizen),Marcy Caldes,Thriller,Tazzy,48.86,3.1,8227724
101740124-1,In the Good Old Summertime,Wanids Phillott,Science Fiction,Lazzy,20.5,1,19438863
425890756-1,"Bad and the Beautiful, The",Kariotta Shingler,Romance,Eimbee,15.85,4.5,7482979
045022512-7,"Long, Hot Summer, The",Valentia Hambly,Romance,Leenti,28.01,0.4,16010013
406865116-7,Hi Tessa (Czesc Tereska),Wendie Melmar,Science Fiction,Realcube,32.71,3.2,7594539
235679485-9,"Story of Ruth, The",Kincaid MacDermott,Fantasy,Brainsphere,41.03,3.9,4778399
913853438-X,WolfCop,Camey Montgomery,Mystery,Wikibox,26.66,1.2,10091197
456312517-2,Two Can Play That Game,Toby Bisiker,Science Fiction,Roodel,25.61,3.8,5190020
276430663-6,"Railway Man, The",Wilma Yare,Thriller,Skyba,11.12,3.1,9064242
737111782-4,Shakedown,Casar Joinsey,Science Fiction,Realcube,42.21,2.3,3933032
787159864-3,I-See-You.Com,Shelby Cradduck,Historical,Voonix,11.3,2.2,11812235
225786966-4,Nobody Else But You (Poupoupidou),Elaina Coyett,Mystery,Aimbu,42.48,3.2,4199505
869396520-4,"Tin Drum, The (Blechtrommel, Die)",Claudette Piwall,Fantasy,Bluezoom,21.6,3.8,6040152
016127900-7,This Is England,Elspeth Elvidge,Mystery,Gigazoom,23.24,3.4,434770
762717741-3,"Wszystko, co kocham",Phyllys Sacase,Mystery,Quamba,33.46,2.7,16090250
725595355-7,Super Capers,Huberto Goneau,Fantasy,Youtags,36.25,3.7,14810744
870367777-X,Mostly Martha (Bella Martha),Matty Gahagan,Science Fiction,Jatri,20.2,1.5,13983368
299430191-1,"Sheriff and the Satellite Kid, The",Shawna Kluss,Historical,Kazu,1.99,3.7,7439459
371259136-5,License to Wed,Jerri Chapple,Nonfiction,Myworks,10.97,4.1,10769200
074240310-6,City of Fear,Laetitia Leaburn,Fantasy,Trilith,38.2,3.5,5649007
451660776-X,Maximum Conviction,Jerald Tippett,Thriller,Livepath,43.26,1.1,16140574
573478693-4,Romanzo Criminale,Rodney Azemar,Romance,Kare,26.39,1.7,12355250
091740327-4,The Girl from Nagasaki,Margy Caygill,Nonfiction,Shufflebeat,15.44,4.5,16510437
196302618-7,Midnight Man,Duke Ferraretto,Romance,Photolist,42.52,0.1,16910196
116471683-2,Mutant Aliens,Sig Redmond,Historical,Zoombeat,32.4,3.3,12071452
217778595-2,Team America: World Police,Monica Antonin,Nonfiction,Vipe,8.1,4.3,7786221
830967822-3,Sittin' on a Backyard Fence,Emmalyn Caldecutt,Nonfiction,Cogilith,22.56,4.5,19514693
285690711-3,"China Syndrome, The",Martina Ebbitt,Mystery,Skyvu,39.2,4,17313270
750427380-5,"Missionary, The",Dore Lockhurst,Fantasy,Skiba,18.63,1.2,8114240
079605973-X,Boris and Natasha,Korie Connaughton,Romance,Yakijo,6.7,0.3,19555535
587129101-5,The Fountain,Micheline Gunton,Nonfiction,Zooveo,44.46,4.3,12944249
550784812-2,Monster's Ball,Reinaldo Oggers,Science Fiction,Jaxspan,12.7,3.9,14361476
660060494-8,...And God Spoke,Dionne Simonaitis,Historical,Quaxo,31.26,0.3,5321016
473037427-4,Blow,Kennie Giannotti,Romance,Topicshots,23.3,4.7,4914603
488562549-1,"Croods, The",Roley Paolini,Science Fiction,Skyble,19.76,3,16055080
461412163-2,"Last Temptation of Christ, The",Patsy Normadell,Mystery,Photobug,35.74,4.9,4525013
388295258-X,Bombshell,Collie Olivet,Romance,Dabtype,37.67,4.8,6016448
755018369-4,Airborne,Pen Bridgeman,Historical,Viva,39.7,4.8,19412238
959524139-3,Ong-Bak 3: The Final Battle (Ong Bak 3),Kara-lynn Parkyn,Historical,Linkbridge,42.05,0.6,11679138
187599664-8,"Front Page, The",Dode Umney,Science Fiction,Dynazzy,21.82,2.5,11791785
118735859-2,Snowbeast,Doy Tyre,Thriller,Brainbox,14.47,3,17039977
956215408-4,Star Trek III: The Search for Spock,Hayden Shafe,Science Fiction,Dabvine,25.54,1.4,13458969
280103223-9,Shouting Fire: Stories from the Edge of Free Speech,Otho Hair,Historical,Topiczoom,36.1,0,865987
076549828-6,Starship Troopers 2: Hero of the Federation,Alameda Luckey,Nonfiction,Wordware,21.49,3.4,7370247
597480215-2,Original Sin,Fabe Shoubridge,Fantasy,Pixonyx,41.28,4.9,13474784
931816939-6,Late Phases,Morna Banthorpe,Historical,Mynte,16.34,1.3,3589089
119536361-3,Mega Shark vs. Crocosaurus,Claudianus Martin,Nonfiction,Blogpad,40.76,4.9,12649207
301855453-1,"Scout, The",Mollee Kinforth,Nonfiction,Oloo,29.36,4,3912874
331291191-5,Meek's Cutoff,Tandy Zima,Fantasy,Kanoodle,14.23,2.2,1907162
203965834-3,Battlestar Galactica: The Plan,Shara Fletham,Historical,Vimbo,33.21,2,664294
681450627-0,Breathless,Colly Orriss,Thriller,Tagopia,43.1,1.9,2841450
077654139-0,Beautiful Kate,Didi Jenkyn,Mystery,Topicblab,44.09,4.6,4140509
573845424-3,Oliver Twist,Dolly Vannuccini,Nonfiction,Ozu,30.47,3.6,1822201
249387395-5,Doomsday Book,Darsey Webberley,Fantasy,Zoonder,47.6,2.6,16040966
937582632-5,Ferris Bueller's Day Off,Jordanna Lavrinov,Fantasy,Browsezoom,48.73,0.6,18985032
507092143-6,Clash of the Titans,Horton Burbudge,Mystery,Skilith,9.59,1.5,12147253
385377061-4,"Horse Soldiers, The",Barbaraanne Goldie,Science Fiction,Leexo,27.81,1.6,1547785
552262932-0,"Brothers, The",Maryjane O'Regan,Thriller,Quatz,46.33,1.2,4644135
092725780-7,"Iceberg, L'",Artair Rome,Mystery,Devcast,25.94,0.4,19535204
133937088-3,Naked Souls,Pinchas Leneham,Thriller,Leenti,41.22,2,16708038
993662100-X,Sense and Sensibility,Morry Killigrew,Mystery,Reallinks,36.06,2.8,14321880
037997382-0,"Chaperone, The",Aline Housecraft,Mystery,Cogilith,23.65,3.8,19256493
462565722-9,Odd Girl Out,Chick Duiged,Thriller,Meejo,28.16,3.6,18582386
041370622-2,White Banners,Deck Celli,Mystery,Tanoodle,47.85,3,2016586
233865185-5,Tuareg: The Desert Warrior (Tuareg - Il guerriero del deserto),Connie Brotherhood,Fantasy,Bluezoom,42.06,2.8,15401770
488801365-9,"Fidanzati, I (Fiances, The)",Stanford Shorbrook,Romance,Fivebridge,48.84,1.1,13485450
680063210-4,Rushmore,Tonnie Tomasutti,Science Fiction,Wikizz,36,2.7,7540273
263301715-0,Zhou Yu's Train (Zhou Yu de huo che),Carmela Ducarne,Mystery,Ozu,19.94,4.6,14132951
619175833-2,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",Gorden Renac,Thriller,Aibox,28.68,1,16248694
327742293-3,"Flying Swords of Dragon Gate, The (Long men fei jia)",Joellen Bordiss,Thriller,Divanoodle,4.48,1.9,18253562
382483321-2,Hop,Ruthi Hawse,Historical,Linktype,36.45,0.3,2147652
418513794-X,"Devil and Miss Jones, The",Wynne Hathwood,Mystery,Buzzshare,34.85,3.5,17590845
115309634-X,Warning from Space (Uchûjin Tôkyô ni arawaru),Farrell Granville,Thriller,Muxo,11.94,0.4,5246875
547922281-3,The Imitation Game,Karee Lethardy,Romance,Rhyzio,4.68,0.5,10803833
797172561-2,"Bourne Identity, The",Guido Strike,Thriller,Einti,12.99,1.9,8410574
675108068-9,Mindwarp,Adolph Keough,Nonfiction,Yakijo,25.14,4.4,18662074
456955102-5,Zatoichi,Trey Gossling,Fantasy,Kayveo,34.61,0.6,9387770
453792812-3,Queen of Blood,Ileana Bentham,Nonfiction,Skinix,2.13,4.5,5298354
816524523-6,WNUF Halloween Special,Harmonia Vakhrushev,Mystery,Thoughtmix,12.74,2.5,6083349
785443865-X,FM,Kermie Innes,Romance,Katz,15.59,2.2,19788301
056723749-4,Vamps,Lidia Gambie,Fantasy,Trilia,45.17,1.8,10452002
521526991-2,Sixtynine,Jarad Willoughby,Mystery,Twimm,34.06,2.6,3073783
688459700-3,"Christmas Story 2, A",Sibelle Axby,Historical,Twimbo,49.86,0.4,441096
528948984-3,"2013 Rock and Roll Hall of Fame Induction Ceremony, The",Sutherland Ayling,Thriller,Kwilith,35.48,0.4,15287720
770789996-2,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,Sasha Roderick,Fantasy,Skipstorm,47.81,0.2,1669236
920937372-3,Arrival II,Abagail Kenyam,Mystery,Vinder,10.57,4.5,244903
546198043-0,Borderland,Talia Ferrand,Mystery,Pixoboo,12.35,3.3,9306351
773982220-5,"Pumpkin Eater, The",Torrence Danjoie,Mystery,Demimbu,16.54,1.3,19159827
897372620-X,The Count of Monte Cristo,Andris Wicklen,Nonfiction,Riffwire,21.71,2.5,9515365
181684790-9,Shame,Xena Bandey,Nonfiction,Twitterbeat,42.71,3.2,18132702
353656349-X,"Couch in New York, A",Halimeda Blakeborough,Science Fiction,Trunyx,22.25,4.7,17423627
273342450-5,Fire,Filippo Beeson,Fantasy,Yozio,11.7,2.3,5083798
512466861-X,OKA!,Ellissa Hunnaball,Historical,Quatz,10.71,0.2,5831614
051309334-6,Rise,Clayborn Ferrara,Mystery,Eazzy,26.9,5,6614277
501165560-1,Not as a Stranger,Chloe Wasielewicz,Science Fiction,Fadeo,46.07,3.1,8554199
479208985-9,Nurse 3D,Selene Godin,Fantasy,Zoomzone,29.11,4.4,9588120
805610911-0,Wendy and Lucy,Gus Poltone,Historical,Dabfeed,1.28,1.5,16931804
486031466-2,Shock,Jessie Joiris,Fantasy,Linkbridge,19.37,3.2,16801079
516792307-7,This Must Be the Place,Garold Haldenby,Fantasy,Wordware,12.29,1.5,5858715
497729313-4,Agony (a.k.a. Rasputin) (Agoniya),Janetta Schlag,Thriller,Youspan,2.64,1,9203288
761681372-0,"Thing from Another World, The",Godfree Haggata,Thriller,Avaveo,7.09,1.1,980888
690010495-9,Holy Motors,Alberik Buckhurst,Nonfiction,Geba,34.08,3.9,8356188
922394427-9,Body Parts,Laurens Andrzej,Mystery,Realblab,8.74,4.6,2480978
738960567-7,Seopyeonje,Ginger Broadnicke,Thriller,Dynabox,32.92,2.5,15270834
410044613-6,Sol ,Kevin Macilhench,Thriller,Chatterpoint,9.98,0.4,7827496
546603428-2,Novocaine,Hanan Jebb,Nonfiction,Vipe,19.83,3.6,1545790
978063589-0,Chained,Whitaker Pinches,Science Fiction,Blogspan,18.72,1.4,1693565
890713491-X,Taras Bulba,Gerhardine Lamar,Fantasy,Kaymbo,29.72,4.8,9022429
140061110-5,Jeremy,Raphaela Simonyi,Nonfiction,Quire,9.72,2.8,15919186
823437683-7,Dial M for Murder,Nathanial Perez,Nonfiction,Meejo,21.88,1.3,9010950
558123280-6,Voyager (Homo Faber),Vanya Darleston,Fantasy,Ooba,3.76,1.5,16167378
887318310-7,Bikes vs Cars,Brittney Lanfranchi,Science Fiction,Demizz,14.58,1.6,14970417
750451181-1,Operation Ganymed,Lanni Degnen,Nonfiction,Dynabox,33.27,0.9,13017830
628319121-5,This Is the Army,Maudie Peeter,Nonfiction,Skilith,5.26,4.7,10871170
519860498-4,Postcards From the Edge,Sharyl Boydon,Mystery,Skipstorm,28.21,4.3,1222956
779159051-4,"Incredibly True Adventure of Two Girls in Love, The",Minni Zarfat,Historical,Eayo,6.16,1,14815128
296164816-5,The Last Journey,Danita Caird,Fantasy,Cogilith,12.65,3.4,8081958
453941781-9,Keeping the Faith,Willa Neave,Nonfiction,Zoozzy,44.73,1.5,19682124
673478000-7,La Belle Verte,Glynnis Nevitt,Thriller,Skipstorm,23.86,4.8,6058535
374846194-1,"Goodbye Girl, The",Ronnie Godilington,Mystery,Roodel,11.54,1.1,4505101
939409947-6,Stop at Nothing: The Lance Armstrong Story,Monte Samways,Science Fiction,Edgeblab,46.37,2.2,5687874
842923117-X,Say Anything...,Romonda Rickford,Fantasy,Topiclounge,20.15,4.5,1595194
079801209-9,"Life and Times of Allen Ginsberg, The",Constantina Powers,Romance,Dabtype,22.98,2.9,15281607
799943984-3,Tesla: Master of Lightning,Olivie Culverhouse,Fantasy,Roombo,4.84,4.5,18553725
192568617-5,Girl Shy,Brian Gainor,Romance,Vinte,3.73,3,11884740
149157585-9,Pornography (Pornografia),Boote Seamon,Thriller,Skidoo,49.49,4.2,11823803
510980132-0,Macario,Shalne Middis,Mystery,Rooxo,17.96,1.7,10897753
537001795-6,"Devil's Rain, The",Xever Weavers,Fantasy,Geba,10.29,2.8,3191050
448956019-2,Hi-Life,Erwin McKinless,Nonfiction,Roombo,45.04,2.2,19194117
419053699-7,The Oscar,Lorine Booley,Mystery,Tazz,17.36,4.5,16046157
820796981-4,Appropriate Adult,Damiano Baurerich,Science Fiction,Eamia,47.65,1.7,15700429
356744290-2,Love Object,Marie Skechley,Romance,Npath,45.31,4.1,8763946
911834291-4,Sunday Bloody Sunday,Frants Jacqueminet,Thriller,Dynazzy,6.22,2.3,5675039
087406923-8,Blithe Spirit,Codi Iskowicz,Fantasy,Browsedrive,25.83,1.7,9191044
102621140-9,"Pursuit of the Graf Spee (Battle of the River Plate, The)",Skell Springer,Romance,Livetube,10.1,1.5,15839184
858394701-5,Me and Him (Ich und Er),Ana Milthorpe,Nonfiction,Photolist,25.39,0.1,12086161
692926605-1,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Tilda d' Eye,Historical,Mymm,33.6,4.3,15810631
212724761-2,Butley,Edwina Henniger,Fantasy,Aivee,14.63,4.4,16610718
986557939-1,Uwasa No Onna (The Woman in the Rumor) (Her Mother's Profession),Pietrek Tapin,Romance,Centimia,34.5,1.6,1260505
584595281-6,Decoys,Alexis Peagrim,Mystery,Bubblemix,8.16,2.1,9119170
866323097-4,Experience Preferred... But Not Essential,Phelia Geggie,Romance,Skyndu,23.4,4.9,9951547
395547931-5,Starting Out in the Evening,Lucas Jarry,Romance,Centizu,45.83,3,5789657
998647214-8,Only You,Floris Dredge,Nonfiction,Katz,7.18,3.8,16344536
643842208-8,Young Gods (Hymypoika),Myranda Sevior,Romance,Trilia,45.25,3.8,19007571
116539396-4,Lucky Break,Guilbert Broseke,Fantasy,Oyonder,29.15,0.1,16386130
766973293-8,Last Holiday,Correy Tales,Mystery,DabZ,47.24,3.2,12416578
452186684-0,Cinderella,Elianore Tonna,Romance,Realcube,33.94,0.1,4456292
249787396-8,Kamome Diner,Langston Roiz,Historical,Myworks,28.22,2.3,6089456
